origin,destination,departure_time,arrival_time,duration,fare,nonstop,layovers
DEN,MCI,2024-12-02T20:48:00,2024-12-03T15:29:00,PT17H41M,649.02,False,PDX
DEN,OKC,2024-12-01T09:58:00,2024-12-01T12:42:00,PT1H44M,256.25,True,None
DEN,OKC,2024-12-01T20:50:00,2024-12-01T23:37:00,PT1H47M,301.4,True,None
DEN,OKC,2024-12-01T13:41:00,2024-12-01T16:29:00,PT1H48M,301.4,True,None
DEN,OKC,2024-12-01T15:40:00,2024-12-01T18:29:00,PT1H49M,464.8,True,None
DEN,OKC,2024-12-01T17:25:00,2024-12-01T20:14:00,PT1H49M,464.8,True,None
DEN,OKC,2024-12-01T10:00:00,2024-12-01T12:51:00,PT1H51M,464.8,True,None
DEN,OKC,2024-12-01T09:58:00,2024-12-01T12:42:00,PT1H44M,256.25,True,None
DEN,OKC,2024-12-01T20:50:00,2024-12-01T23:37:00,PT1H47M,301.4,True,None
DEN,OKC,2024-12-01T13:41:00,2024-12-01T16:29:00,PT1H48M,301.4,True,None
DEN,OKC,2024-12-01T15:40:00,2024-12-01T18:29:00,PT1H49M,464.8,True,None
DEN,OKC,2024-12-01T17:25:00,2024-12-01T20:14:00,PT1H49M,464.8,True,None
DEN,OKC,2024-12-01T10:00:00,2024-12-01T12:51:00,PT1H51M,464.8,True,None
DEN,OKC,2024-12-01T10:41:00,2024-12-01T18:49:00,PT7H8M,560.91,False,LAS
DEN,OKC,2024-12-01T08:00:00,2024-12-01T18:49:00,PT9H49M,566.24,False,LAS
DEN,OKC,2024-12-01T21:40:00,2024-12-02T13:58:00,PT15H18M,581.29,False,SEA
DEN,OKC,2024-12-01T17:42:00,2024-12-02T13:58:00,PT19H16M,624.29,False,SEA
DEN,OKC,2024-12-01T23:55:00,2024-12-02T11:50:00,PT10H55M,697.39,False,ORD
DEN,OKC,2024-12-01T20:25:00,2024-12-02T11:50:00,PT14H25M,697.39,False,ORD
DEN,OKC,2024-12-01T15:24:00,2024-12-01T22:07:00,PT5H43M,854.39,False,ORD
DEN,OKC,2024-12-01T11:15:00,2024-12-01T18:53:00,PT6H38M,856.54,False,ORD
DEN,OKC,2024-12-01T09:40:00,2024-12-01T18:53:00,PT8H13M,856.54,False,ORD
DEN,OKC,2024-12-01T13:25:00,2024-12-01T22:07:00,PT7H42M,1018.86,False,ORD
DEN,OKC,2024-12-02T13:00:00,2024-12-02T15:46:00,PT1H46M,246.57,True,None
DEN,OKC,2024-12-02T20:50:00,2024-12-02T23:37:00,PT1H47M,301.4,True,None
DEN,OKC,2024-12-02T13:41:00,2024-12-02T16:29:00,PT1H48M,301.4,True,None
DEN,OKC,2024-12-02T15:40:00,2024-12-02T18:29:00,PT1H49M,301.4,True,None
DEN,OKC,2024-12-02T17:25:00,2024-12-02T20:14:00,PT1H49M,301.4,True,None
DEN,OKC,2024-12-02T10:00:00,2024-12-02T12:51:00,PT1H51M,301.4,True,None
DEN,OKC,2024-12-02T13:00:00,2024-12-02T15:46:00,PT1H46M,246.57,True,None
DEN,OKC,2024-12-02T20:50:00,2024-12-02T23:37:00,PT1H47M,301.4,True,None
DEN,OKC,2024-12-02T13:41:00,2024-12-02T16:29:00,PT1H48M,301.4,True,None
DEN,OKC,2024-12-02T15:40:00,2024-12-02T18:29:00,PT1H49M,301.4,True,None
DEN,OKC,2024-12-02T17:25:00,2024-12-02T20:14:00,PT1H49M,301.4,True,None
